HG_TOT,TURBIEDAD,SST,COLOR_VER,DUR_TOT,N_TOT,COLI_FEC,N_NH3,N_NO2,N_NO3
0.0,0.2835820895522388,0.45,1.0,0.3170572547239404,0.48666080021752683,0.0,0.007292882147024502,0.08634087376964256,1.0
0.4689331770222744,0.4925373134328358,1.0,0.13043478260869565,1.0,0.3196313399856277,0.5364077669902912,0.1739873312218703,0.04317043688482128,0.0577332477965423
0.7033997655334115,0.5373134328358209,0.925,0.2028985507246377,0.3044760398343072,0.8470141616480641,0.21197411003236247,0.14064844140690114,0.7813849076152651,0.05507724871184044
0.36342321219226265,0.29850746268656714,0.625,0.0,0.7800530556658912,0.10359860340662419,1.0,0.7263521192926093,0.0,0.16540336453791749
0.12895662368112545,1.0,0.625,0.34782608695652173,0.10355785053623111,0.7923336764558678,0.22815533980582525,0.49146448650532665,0.6475565532723192,0.8559631265603995
0.17350527549824152,0.1044776119402985,0.525,0.08695652173913043,0.5273648073540261,0.191532592407779,0.07928802588996764,0.11236342420706483,0.034450008634087384,0.14328093523857002
0.11254396248534586,0.1791044776119403,0.675,0.08695652173913043,0.27219400783067593,0.18738972395318992,0.24352750809061488,0.03759338677658398,0.24188395786565364,0.1609045107036763
0.2415005861664713,0.2537313432835821,0.8,0.08695652173913043,0.5841974975883789,0.5201981644687402,0.07928802588996764,1.0,0.018994992229321356,0.03444013582370704
0.12192262602579135,0.1791044776119403,0.375,0.14492753623188406,0.0,0.9673694951616735,0.459546925566343,0.05775962660443405,0.005698497668796416,0.28115589080166226
1.0,0.19402985074626866,0.0,0.2028985507246377,0.7640937978777733,1.0,0.10922330097087378,0.31860234281471156,0.06436712139526851,0.3153059098022711
0.0762016412661196,0.08955223880597014,0.425,0.017391304347826087,0.7837768824831186,0.3377520942177629,0.4894822006472492,0.2067124823834275,0.9221205318597824,0.3522508570704739
0.182883939038687,0.6268656716417911,0.78575,0.3188405797101449,0.6037919196504566,0.7990925429861819,0.1529126213592233,0.1459826637772962,0.012346744949058876,0.0
0.08909730363423214,0.22388059701492538,0.4875,0.14492753623188406,0.2699774442489929,0.8622903354483428,0.12944983818770225,0.20898179999696917,0.27879468140217584,0.6236204127831194
0.0,0.0,0.34675,0.08695652173913043,0.5356990864211543,0.0,0.016181229773462782,0.0,1.0,0.0927066265134087
