,Time_Step,FI,Smooth_FI
0,2014-03-25,4.850815121778643,4.704831478436371
1,2014-05-13,4.614212459510348,4.704831478436371
2,2014-06-25,4.6494668540201225,4.704831478436371
3,2014-08-12,3.985801664738582,3.5354279057888207
4,2014-09-28,3.2101533381203247,3.5354279057888207
5,2015-03-21,3.4103287145075556,3.5354279057888207
6,2015-05-15,3.753335083079366,4.196020158799711
7,2015-06-16,4.286936939567666,4.196020158799711
8,2015-07-27,4.5477884537521005,4.196020158799711
9,2015-09-13,4.806097170661895,4.760339334623709
10,2015-10-29,5.138764491404943,4.760339334623709
11,2016-03-05,4.3361563418042905,4.760339334623709
12,2016-04-28,4.463735569608325,4.14648895703386
13,2016-06-04,4.334453657338304,4.14648895703386
14,2016-07-24,3.64127764415495,4.14648895703386
15,2016-09-18,3.843001028006082,3.442472700766526
16,2016-11-07,3.169707428057541,3.442472700766526
17,2017-03-14,3.3147096462359564,3.442472700766526
18,2017-04-23,4.231289859080987,4.00886797817799
19,2017-05-26,4.146830966457499,4.00886797817799
20,2017-07-03,3.6484831089954817,4.00886797817799
21,2017-08-15,3.349377437742538,3.4143636064497063
22,2017-10-09,3.4751314034602854,3.4143636064497063
23,2018-02-11,3.4185819781462965,3.4143636064497063
24,2018-03-15,3.2765361049069472,3.1062835177221886
25,2018-04-24,2.7092531580837176,3.1062835177221886
26,2018-06-07,3.333061290175901,3.1062835177221886
27,2018-10-25,2.866040722647841,3.320524293136957
28,2018-12-19,3.687813842166758,3.320524293136957
29,2019-02-15,3.4077183145962726,3.320524293136957
