"","var","en","mi","ig","gr"
"en5","COLI_FEC",3.664,2.95,2.95021206491475,0.805079506845394
"en3","DUR_TOT",3.807,2.95,2.95021206491475,0.774871827110977
"en4","N_TOT",3.807,2.95,2.95021206491475,0.774871827110977
"en6","N_NH3",3.807,2.95,2.95021206491475,0.774871827110977
"en7","N_NO2",3.807,2.95,2.95021206491475,0.774871827110977
"en8","N_NO3",3.807,2.95,2.95021206491475,0.774871827110977
"en","HG_TOT",3.807,2.807,2.8073549220576,0.766095408214472
"en1","TURBIEDAD",3.807,2.807,2.8073549220576,0.766095408214472
"en2","SST",3.807,2.807,2.8073549220576,0.766095408214472
