,Time_Step,FI,Smooth_FI
0,2014-02-26,4.349718460127121,4.3224620375617855
1,2014-03-25,4.349718460127121,4.3224620375617855
2,2014-05-13,4.267949192431117,4.3224620375617855
3,2014-06-25,4.127016653792579,3.7329378078390216
4,2014-08-12,4.267949192431117,3.7329378078390216
5,2014-09-28,2.8038475772933684,3.7329378078390216
6,2015-03-21,4.000000000000001,3.717388206516219
7,2015-05-15,2.601654362331829,3.717388206516219
8,2015-06-16,4.5505102572168274,3.717388206516219
9,2015-07-27,3.101020514433646,4.60317263076815
10,2015-09-13,5.354248688935403,4.60317263076815
11,2015-10-29,5.354248688935403,4.60317263076815
12,2016-03-05,4.000000000000001,4.630049024599217
13,2016-04-28,5.354248688935403,4.630049024599217
14,2016-06-04,4.535898384862251,4.630049024599217
15,2016-07-24,4.5505102572168274,4.2883175123112895
16,2016-09-18,4.5505102572168274,4.2883175123112895
17,2016-11-07,3.7639320225002133,4.2883175123112895
18,2017-03-14,2.601654362331829,3.8339610265585926
19,2017-04-23,4.5505102572168274,3.8339610265585926
20,2017-05-26,4.349718460127121,3.8339610265585926
21,2017-07-03,3.171572875253809,2.4193271724442913
22,2017-08-15,1.5358983848622452,2.4193271724442913
23,2017-10-09,2.5505102572168195,2.4193271724442913
24,2018-02-11,2.5505102572168195,2.964552002574812
25,2018-03-15,3.171572875253809,2.964552002574812
26,2018-04-24,3.171572875253809,2.964552002574812
27,2018-06-07,3.171572875253809,3.944829304636213
28,2018-10-25,4.127016653792579,3.944829304636213
29,2018-12-19,4.535898384862251,3.944829304636213
30,2019-02-15,5.354248688935403,5.354248688935403
