,FECHA,N_NH3
29357,2012-12-05,0.0282
29358,2013-04-17,0.0722
29359,2013-07-29,0.0634
29360,2014-04-03,0.218
29361,2014-08-12,0.156
29362,2015-06-16,0.055934
29363,2015-09-13,0.036198
29364,2016-03-05,0.290231
29365,2016-09-18,0.041521
29366,2017-03-15,0.110372
29367,2018-02-11,0.080838
29368,2018-08-09,0.064808
29369,2018-10-27,0.081437
120636,2019-02-15,0.026275
