,FECHA,SST
29370,2012-12-05,42.0
29371,2013-04-17,140.0
29372,2014-04-03,66.0
29373,2014-08-12,40.0
29374,2015-06-16,50.0
29375,2015-09-13,92.0
29376,2016-03-05,56.0
29377,2016-09-18,24.0
29378,2017-03-15,70.0
29379,2018-02-11,53.0
29380,2018-08-09,304.0
29381,2018-10-27,44.35
120637,2019-02-15,33.6
