,FECHA,N_NO3
29370,2012-12-05,0.3968
29371,2013-04-17,0.0356
29372,2014-04-03,0.072
29373,2014-08-12,0.443
29374,2015-06-16,0.03984
29375,2015-09-13,0.233971
29376,2016-03-05,0.007416
29377,2016-09-18,0.167066
29378,2017-03-15,0.012639
29379,2018-02-11,0.145809
29380,2018-08-09,0.155897
29381,2018-10-27,0.894489
120637,2019-02-15,0.012847
