,Time_Step,FI,Smooth_FI
0,2014-02-26,3.0000000000000004,3.3958135999862478
1,2014-03-25,3.7639320225002133,3.3958135999862478
2,2014-05-13,3.4235087774585304,3.3958135999862478
3,2014-06-25,2.601654362331829,3.739774004963356
4,2014-08-12,4.349718460127121,3.739774004963356
5,2014-09-28,4.267949192431117,3.739774004963356
6,2015-03-21,4.267949192431117,3.68792080995422
7,2015-05-15,4.267949192431117,3.68792080995422
8,2015-06-16,2.5278640450004257,3.68792080995422
9,2015-07-27,3.101020514433646,4.60317263076815
10,2015-09-13,5.354248688935403,4.60317263076815
11,2015-10-29,5.354248688935403,4.60317263076815
12,2016-03-05,4.535898384862251,3.2812559849865965
13,2016-04-28,3.171572875253809,3.2812559849865965
14,2016-06-04,2.1362966948437294,3.2812559849865965
15,2016-07-24,2.0,2.0
16,2016-09-18,2.0,2.0
17,2016-11-07,2.0,2.0
18,2017-03-14,2.0,1.7238576250846027
19,2017-04-23,1.5857864376269044,1.7238576250846027
20,2017-05-26,1.5857864376269044,1.7238576250846027
21,2017-07-03,1.5857864376269044,1.5857864376269044
22,2017-08-15,1.5857864376269044,1.5857864376269044
23,2017-10-09,1.5857864376269044,1.5857864376269044
24,2018-02-11,1.5857864376269044,1.2524531042935723
25,2018-03-15,1.0000000000000002,1.2524531042935723
26,2018-04-24,1.171572875253812,1.2524531042935723
27,2018-06-07,1.171572875253812,1.4477152501692068
28,2018-10-25,1.5857864376269044,1.4477152501692068
29,2018-12-19,1.5857864376269044,1.4477152501692068
30,2019-02-15,1.171572875253812,1.171572875253812
