,Time_Step,FI,Smooth_FI
0,2014-02-26,5.354248688935403,4.751492468759785
1,2014-03-25,4.5505102572168274,4.751492468759785
2,2014-05-13,4.349718460127121,4.751492468759785
3,2014-06-25,3.171572875253809,2.375443006581828
4,2014-08-12,2.1362966948437294,2.375443006581828
5,2014-09-28,1.818459449647946,2.375443006581828
6,2015-03-21,2.5505102572168195,2.6398266546938634
7,2015-05-15,2.2679491924311255,2.6398266546938634
8,2015-06-16,3.101020514433646,2.6398266546938634
9,2015-07-27,4.267949192431117,2.951245210019339
10,2015-09-13,2.5857864376269,2.951245210019339
11,2015-10-29,2.0000000000000004,2.951245210019339
12,2016-03-05,2.0000000000000004,2.4226497308103756
13,2016-04-28,3.0000000000000004,2.4226497308103756
14,2016-06-04,2.2679491924311255,2.4226497308103756
15,2016-07-24,1.5857864376269044,1.3096440627115093
16,2016-09-18,1.171572875253812,1.3096440627115093
17,2016-11-07,1.171572875253812,1.3096440627115093
18,2017-03-14,1.171572875253812,1.3096440627115093
19,2017-04-23,1.171572875253812,1.3096440627115093
20,2017-05-26,1.5857864376269044,1.3096440627115093
21,2017-07-03,1.5857864376269044,1.195262145875635
22,2017-08-15,1.0000000000000002,1.195262145875635
23,2017-10-09,1.0000000000000002,1.195262145875635
24,2018-02-11,1.5857864376269044,1.796544671640092
25,2018-03-15,2.2679491924311255,1.796544671640092
26,2018-04-24,1.5358983848622452,1.796544671640092
27,2018-06-07,1.818459449647946,1.874102342313772
28,2018-10-25,2.2679491924311255,1.874102342313772
29,2018-12-19,1.5358983848622452,1.874102342313772
30,2019-02-15,2.2679491924311255,2.2679491924311255
