,FECHA,E_COLI
29370,2012-12-05,10.0
29371,2013-04-17,20.0
29372,2014-04-03,41.0
29373,2014-08-12,20.0
29374,2015-06-16,104.5
29375,2015-09-13,189.0
29376,2016-03-05,129.33333
29377,2016-09-18,69.666664
29378,2017-03-15,10.0
29379,2018-02-11,30.0
29380,2018-08-09,121.0
29381,2018-10-27,909.0
120637,2019-02-15,41.0
