,Time_Step,FI,Smooth_FI
0,2014-02-26,3.7639320225002133,3.7639320225002133
1,2014-03-25,3.7639320225002133,3.7639320225002133
2,2014-05-13,3.7639320225002133,3.7639320225002133
3,2014-06-25,3.7639320225002133,3.175954681666809
4,2014-08-12,3.7639320225002133,3.175954681666809
5,2014-09-28,2.0000000000000004,3.175954681666809
6,2015-03-21,2.5278640450004257,3.661044416123158
7,2015-05-15,3.101020514433646,3.661044416123158
8,2015-06-16,5.354248688935403,3.661044416123158
9,2015-07-27,5.354248688935403,4.808681819553301
10,2015-09-13,4.535898384862251,4.808681819553301
11,2015-10-29,4.535898384862251,4.808681819553301
12,2016-03-05,4.127016653792579,4.3996044745056935
13,2016-04-28,4.535898384862251,4.3996044745056935
14,2016-06-04,4.535898384862251,4.3996044745056935
15,2016-07-24,3.423508777458531,3.006196810056958
16,2016-09-18,3.423508777458531,3.006196810056958
17,2016-11-07,2.1715728752538137,3.006196810056958
18,2017-03-14,2.1715728752538137,2.978501632584676
19,2017-04-23,3.7639320225002133,2.978501632584676
20,2017-05-26,3.0000000000000004,2.978501632584676
21,2017-07-03,2.4395220676849267,1.7322937935218812
22,2017-08-15,1.171572875253812,1.7322937935218812
23,2017-10-09,1.5857864376269044,1.7322937935218812
24,2018-02-11,1.5857864376269044,2.1347486290916167
25,2018-03-15,1.818459449647946,2.1347486290916167
26,2018-04-24,3.0000000000000004,2.1347486290916167
27,2018-06-07,3.0000000000000004,3.507097111793643
28,2018-10-25,3.171572875253809,3.507097111793643
29,2018-12-19,4.349718460127121,3.507097111793643
30,2019-02-15,5.354248688935403,5.354248688935403
