,FECHA,N_NO2
29357,2012-12-05,0.004
29358,2013-04-17,0.003
29359,2013-07-29,0.0201
29360,2014-04-03,0.002
29361,2014-08-12,0.017
29362,2015-06-16,0.002798
29363,2015-09-13,0.007603
29364,2016-03-05,0.00244
29365,2016-09-18,0.002132
29366,2017-03-15,0.003491
29367,2018-02-11,0.02336
29368,2018-08-09,0.002286
29369,2018-10-27,0.008458
120636,2019-02-15,0.025164
