,FECHA,HG_TOT
29357,2012-12-05,0.0003432
29358,2013-04-17,0.0004
29359,2013-07-29,0.0006
29360,2014-04-03,0.00031
29361,2014-08-12,0.00011
29362,2015-06-16,0.000148
29363,2015-09-13,9.6e-05
29364,2016-03-05,0.000206
29365,2016-09-18,0.000104
29366,2017-03-15,0.000853
29367,2018-02-11,6.5e-05
29368,2018-08-09,0.000156
29369,2018-10-27,7.6e-05
120636,2019-02-15,4.3666667e-05
