,FECHA,N_NH3
29370,2012-12-05,0.0864
29371,2013-04-17,0.0487
29372,2014-04-03,0.175
29373,2014-08-12,0.072
29374,2015-06-16,0.053206
29375,2015-09-13,0.03555
29376,2016-03-05,0.171312
29377,2016-09-18,0.03699
29378,2017-03-15,0.133493
29379,2018-02-11,0.062647
29380,2018-08-09,0.047518
29381,2018-10-27,0.04755
120637,2019-02-15,0.03665
