,Time_Step,FI,Smooth_FI
0,2014-02-26,1.0000000000000002,1.195262145875635
1,2014-03-25,1.0000000000000002,1.195262145875635
2,2014-05-13,1.5857864376269044,1.195262145875635
3,2014-06-25,2.2679491924311255,2.6751028351039463
4,2014-08-12,3.0000000000000004,2.6751028351039463
5,2014-09-28,2.757359312880713,2.6751028351039463
6,2015-03-21,3.4235087774585304,4.4378852837520615
7,2015-05-15,4.535898384862251,4.4378852837520615
8,2015-06-16,5.354248688935403,4.4378852837520615
9,2015-07-27,5.354248688935403,5.354248688935403
10,2015-09-13,5.354248688935403,5.354248688935403
11,2015-10-29,5.354248688935403,5.354248688935403
12,2016-03-05,3.101020514433646,4.335259820195293
13,2016-04-28,5.354248688935403,4.335259820195293
14,2016-06-04,4.5505102572168274,4.335259820195293
15,2016-07-24,4.5505102572168274,4.389392636591688
16,2016-09-18,4.349718460127121,4.389392636591688
17,2016-11-07,4.267949192431117,4.389392636591688
18,2017-03-14,2.8038475772933684,3.601282525764457
19,2017-04-23,4.000000000000001,3.601282525764457
20,2017-05-26,4.000000000000001,3.601282525764457
21,2017-07-03,4.127016653792579,4.127016653792579
22,2017-08-15,4.127016653792579,4.127016653792579
23,2017-10-09,4.127016653792579,4.127016653792579
24,2018-02-11,2.8038475772933684,2.9210849132047136
25,2018-03-15,2.5358983848622416,2.9210849132047136
26,2018-04-24,3.423508777458531,2.9210849132047136
27,2018-06-07,2.8038475772933684,2.634956030575669
28,2018-10-25,2.5505102572168195,2.634956030575669
29,2018-12-19,2.5505102572168195,2.634956030575669
30,2019-02-15,3.101020514433646,3.101020514433646
