,Time_Step,FI,Smooth_FI
0,2014-02-26,3.585786437626899,3.0656271268552113
1,2014-03-25,2.4395220676849267,3.0656271268552113
2,2014-05-13,3.171572875253809,3.0656271268552113
3,2014-06-25,1.818459449647946,2.2123062997652974
4,2014-08-12,1.818459449647946,2.2123062997652974
5,2014-09-28,3.0000000000000004,2.2123062997652974
6,2015-03-21,2.853735630058029,3.2058892175194145
7,2015-05-15,3.0000000000000004,3.2058892175194145
8,2015-06-16,3.7639320225002133,3.2058892175194145
9,2015-07-27,3.4235087774585304,3.793137276241921
10,2015-09-13,2.601654362331829,3.793137276241921
11,2015-10-29,5.354248688935403,3.793137276241921
12,2016-03-05,4.5505102572168274,4.2883175123112895
13,2016-04-28,4.5505102572168274,4.2883175123112895
14,2016-06-04,3.7639320225002133,4.2883175123112895
15,2016-07-24,3.7639320225002133,3.265271079143851
16,2016-09-18,2.2679491924311255,3.265271079143851
17,2016-11-07,3.7639320225002133,3.265271079143851
18,2017-03-14,2.853735630058029,2.8275400631640335
19,2017-04-23,2.5278640450004257,2.8275400631640335
20,2017-05-26,3.101020514433646,2.8275400631640335
21,2017-07-03,5.354248688935403,4.241072798600055
22,2017-08-15,4.267949192431117,4.241072798600055
23,2017-10-09,3.101020514433646,4.241072798600055
24,2018-02-11,5.354248688935403,4.151756401123017
25,2018-03-15,4.5505102572168274,4.151756401123017
26,2018-04-24,2.5505102572168195,4.151756401123017
27,2018-06-07,3.101020514433646,3.87897296643196
28,2018-10-25,4.267949192431117,3.87897296643196
29,2018-12-19,4.267949192431117,3.87897296643196
30,2019-02-15,2.8038475772933684,2.8038475772933684
