,FECHA,COLOR_VER
29370,2012-12-05,187.5
29371,2013-04-17,50.0
29372,2014-04-03,25.0
29373,2014-08-12,75.0
29374,2015-06-16,25.0
29375,2015-09-13,60.0
29376,2016-03-05,30.0
29377,2016-09-18,50.0
29378,2017-03-15,40.0
29379,2018-02-11,18.0
29380,2018-08-09,30.0
29381,2018-10-27,30.0
120637,2019-02-15,25.0
