,FECHA,DUR_TOT
29370,2012-12-05,193.466
29371,2013-04-17,243.1216
29372,2014-04-03,255.8
29373,2014-08-12,160.0
29374,2015-06-16,199.61
29375,2015-09-13,82.51
29376,2016-03-05,204.34
29377,2016-09-18,152.64
29378,2017-03-15,212.18
29379,2018-02-11,222.72
29380,2018-08-09,216.59
29381,2018-10-27,152.71
120637,2019-02-15,202.77
