,FECHA,SST
29357,2012-12-05,36.0
29358,2013-04-17,80.0
29359,2013-07-29,74.0
29360,2014-04-03,50.0
29361,2014-08-12,50.0
29362,2015-06-16,42.0
29363,2015-09-13,54.0
29364,2016-03-05,64.0
29365,2016-09-18,30.0
29366,2017-03-15,32.0
29367,2018-02-11,34.0
29368,2018-08-09,62.86
29369,2018-10-27,39.0
120636,2019-02-15,27.74
