,Time_Step,FI,Smooth_FI
0,2014-02-26,4.535898384862251,4.22097167955161
1,2014-03-25,4.127016653792579,4.22097167955161
2,2014-05-13,4.000000000000001,4.22097167955161
3,2014-06-25,4.127016653792579,3.596643897482467
4,2014-08-12,4.127016653792579,3.596643897482467
5,2014-09-28,2.5358983848622416,3.596643897482467
6,2015-03-21,2.5358983848622416,3.9633823579325487
7,2015-05-15,4.000000000000001,3.9633823579325487
8,2015-06-16,5.354248688935403,3.9633823579325487
9,2015-07-27,4.535898384862251,6.84529946162075
10,2015-09-13,8.0,6.84529946162075
11,2015-10-29,8.0,6.84529946162075
12,2016-03-05,4.535898384862251,4.535898384862251
13,2016-04-28,4.535898384862251,4.535898384862251
14,2016-06-04,4.535898384862251,4.535898384862251
15,2016-07-24,4.000000000000001,4.178632794954084
16,2016-09-18,4.000000000000001,4.178632794954084
17,2016-11-07,4.535898384862251,4.178632794954084
18,2017-03-14,4.5505102572168274,3.799175937377963
19,2017-04-23,3.423508777458531,3.799175937377963
20,2017-05-26,3.423508777458531,3.799175937377963
21,2017-07-03,2.1715728752538137,3.495338384990285
22,2017-08-15,3.7639320225002133,3.495338384990285
23,2017-10-09,4.5505102572168274,3.495338384990285
24,2018-02-11,4.349718460127121,3.019063240081058
25,2018-03-15,3.171572875253809,3.019063240081058
26,2018-04-24,1.5358983848622452,3.019063240081058
27,2018-06-07,2.8038475772933684,2.7145311798163263
28,2018-10-25,2.8038475772933684,2.7145311798163263
29,2018-12-19,2.5358983848622416,2.7145311798163263
30,2019-02-15,3.423508777458531,3.423508777458531
