,Time_Step,FI,Smooth_FI
0,2014-02-26,3.0000000000000004,3.0000000000000004
1,2014-03-25,3.0000000000000004,3.0000000000000004
2,2014-05-13,3.0000000000000004,3.0000000000000004
3,2014-06-25,2.1715728752538137,2.191939587509555
4,2014-08-12,3.0000000000000004,2.191939587509555
5,2014-09-28,1.4042458872748502,2.191939587509555
6,2015-03-21,1.68680695206055,2.4005085259406584
7,2015-05-15,2.757359312880713,2.4005085259406584
8,2015-06-16,2.757359312880713,2.4005085259406584
9,2015-07-27,2.1362966948437294,2.297885335908147
10,2015-09-13,3.0000000000000004,2.297885335908147
11,2015-10-29,1.7573593128807117,2.297885335908147
12,2016-03-05,1.5358983848622452,2.4332768024541527
13,2016-04-28,2.0000000000000004,2.4332768024541527
14,2016-06-04,3.7639320225002133,2.4332768024541527
15,2016-07-24,3.7639320225002133,2.6451682992513423
16,2016-09-18,2.0000000000000004,2.6451682992513423
17,2016-11-07,2.1715728752538137,2.6451682992513423
18,2017-03-14,2.601654362331829,4.163933812043161
19,2017-04-23,4.535898384862251,4.163933812043161
20,2017-05-26,5.354248688935403,4.163933812043161
21,2017-07-03,4.5505102572168274,4.2883175123112895
22,2017-08-15,4.5505102572168274,4.2883175123112895
23,2017-10-09,3.7639320225002133,4.2883175123112895
24,2018-02-11,1.5857864376269044,1.8131740225616448
25,2018-03-15,2.2679491924311255,1.8131740225616448
26,2018-04-24,1.5857864376269044,1.8131740225616448
27,2018-06-07,1.5857864376269044,1.4310858992476536
28,2018-10-25,1.171572875253812,1.4310858992476536
29,2018-12-19,1.5358983848622452,1.4310858992476536
30,2019-02-15,1.818459449647946,1.818459449647946
