,FECHA,N_NO3
29357,2012-12-05,0.5155
29358,2013-04-17,0.0543
29359,2013-07-29,0.053
29360,2014-04-03,0.107
29361,2014-08-12,0.445
29362,2015-06-16,0.096172
29363,2015-09-13,0.104798
29364,2016-03-05,0.042899
29365,2016-09-18,0.163656
29366,2017-03-15,0.180371
29367,2018-02-11,0.198454
29368,2018-08-09,0.026042
29369,2018-10-27,0.331278
120636,2019-02-15,0.071418
