,FECHA,COLI_FEC
29370,2012-12-05,473.0
29371,2013-04-17,2481.0
29372,2014-04-03,1793.0
29373,2014-08-12,246.0
29374,2015-06-16,323.0
29375,2015-09-13,774.0
29376,2016-03-05,426.0
29377,2016-09-18,794.0
29378,2017-03-15,691.0
29379,2018-02-11,530.0
29380,2018-08-09,1523.0
29381,2018-10-27,2481.0
120637,2019-02-15,265.0
