,FECHA,N_TOT
29357,2012-12-05,0.9534
29358,2013-04-17,0.8416
29359,2013-07-29,1.1946
29360,2014-04-03,0.697
29361,2014-08-12,1.158
29362,2015-06-16,0.755858
29363,2015-09-13,0.753085
29364,2016-03-05,0.975848
29365,2016-09-18,1.275159
29366,2017-03-15,1.297
29367,2018-02-11,0.853729
29368,2018-08-09,1.162524
29369,2018-10-27,1.204825
120636,2019-02-15,0.627657
