,Time_Step,FI,Smooth_FI
0,2014-02-26,1.7573593128807117,2.964970686691597
1,2014-03-25,2.601654362331829,2.964970686691597
2,2014-05-13,4.535898384862251,2.964970686691597
3,2014-06-25,4.535898384862251,3.874102342313774
4,2014-08-12,4.535898384862251,3.874102342313774
5,2014-09-28,2.5505102572168195,3.874102342313774
6,2015-03-21,4.127016653792579,4.127016653792579
7,2015-05-15,4.127016653792579,4.127016653792579
8,2015-06-16,4.127016653792579,4.127016653792579
9,2015-07-27,5.354248688935403,4.4427559078702545
10,2015-09-13,4.5505102572168274,4.4427559078702545
11,2015-10-29,3.423508777458531,4.4427559078702545
12,2016-03-05,3.423508777458531,2.7723882617276576
13,2016-04-28,2.757359312880713,2.7723882617276576
14,2016-06-04,2.1362966948437294,2.7723882617276576
15,2016-07-24,1.5857864376269044,1.3905242917512697
16,2016-09-18,1.5857864376269044,1.3905242917512697
17,2016-11-07,1.0000000000000002,1.3905242917512697
18,2017-03-14,1.0000000000000002,1.0000000000000002
19,2017-04-23,1.0000000000000002,1.0000000000000002
20,2017-05-26,1.0000000000000002,1.0000000000000002
21,2017-07-03,1.0000000000000002,1.0000000000000002
22,2017-08-15,1.0000000000000002,1.0000000000000002
23,2017-10-09,1.0000000000000002,1.0000000000000002
24,2018-02-11,1.5857864376269044,1.3096440627115093
25,2018-03-15,1.171572875253812,1.3096440627115093
26,2018-04-24,1.171572875253812,1.3096440627115093
27,2018-06-07,1.4042458872748502,2.195037992538031
28,2018-10-25,1.7573593128807117,2.195037992538031
29,2018-12-19,3.423508777458531,2.195037992538031
30,2019-02-15,2.3431457505076234,2.3431457505076234
