,FECHA,COLI_FEC
29357,2012-12-05,352.0
29358,2013-04-17,663.0
29359,2013-07-29,262.0
29360,2014-04-03,1236.0
29361,2014-08-12,282.0
29362,2015-06-16,98.0
29363,2015-09-13,301.0
29364,2016-03-05,98.0
29365,2016-09-18,568.0
29366,2017-03-15,135.0
29367,2018-02-11,605.0
29368,2018-08-09,189.0
29369,2018-10-27,160.0
120636,2019-02-15,20.0
