,FECHA,COLOR_VER
29357,2012-12-05,187.5
29358,2013-04-17,37.5
29359,2013-07-29,50.0
29360,2014-04-03,15.0
29361,2014-08-12,75.0
29362,2015-06-16,30.0
29363,2015-09-13,30.0
29364,2016-03-05,30.0
29365,2016-09-18,40.0
29366,2017-03-15,50.0
29367,2018-02-11,18.0
29368,2018-08-09,70.0
29369,2018-10-27,40.0
120636,2019-02-15,30.0
