,FECHA,N_NO2
29370,2012-12-05,0.0062
29371,2013-04-17,0.0031
29372,2014-04-03,0.002
29373,2014-08-12,0.013
29374,2015-06-16,0.003081
29375,2015-09-13,0.013005
29376,2016-03-05,0.003
29377,2016-09-18,0.003503
29378,2017-03-15,0.002806
29379,2018-02-11,0.006472
29380,2018-08-09,0.014452
29381,2018-10-27,0.036445
120637,2019-02-15,0.002202
